"term_label"	"model"	"term"	"estimate"	"conf.low"	"conf.high"
"1"	"Treatment outcome of the previous treatment"	"No correction"	"lag_tr_outcome"	"1.17"	"1.13"	"1.21"
"2"	"Previous biopsychosocial compromise (severe)"	"No correction"	"lag_comp_bpsc_y3_severe"	"1.06"	"1.03"	"1.10"
"3"	"Previous treatment duration (<90 days)"	"No correction"	"lag_less_90d_tr1"	"1.11"	"1.06"	"1.16"
"4"	"Previous treatment duration (in logarithmic scaled days)"	"No correction"	"log_lag_dias_treat_imp_sin_na"	"0.98"	"0.96"	"1.00"
"5"	"Polysubstance use status of the previous treatment"	"No correction"	"lag_policonsumo2"	"0.98"	"0.95"	"1.02"
"6"	"Age at admission to treatment"	"No correction"	"edad_al_ing_1"	"1.26"	"1.25"	"1.27"
"7"	"Birth year"	"No correction"	"ano_nac_corr"	"1.27"	"1.26"	"1.28"
"8"	"Primary substance (initial diagnosis), alcohol"	"No correction"	"susinidum_oh"	"1.05"	"0.95"	"1.14"
"9"	"Primary substance (initial diagnosis), cocaine"	"No correction"	"susinidum_coc"	"1.12"	"1.00"	"1.25"
"10"	"Primary substance (initial diagnosis), cocaine base paste"	"No correction"	"susinidum_pbc"	"1.17"	"1.06"	"1.30"
"11"	"Primary substance (initial diagnosis), marijuana"	"No correction"	"susinidum_mar"	"1.17"	"1.07"	"1.29"
"12"	"Psychiatric comorbidity (diagnosis unknown or under study)"	"No correction"	"psycom_dum_study"	"1.03"	"0.99"	"1.08"
"13"	"Psychiatric comorbidity (confirmed comorbidity)"	"No correction"	"psycom_dum_with"	"1.02"	"0.99"	"1.05"
"14"	"Daily frequence of primary substance use at admission"	"No correction"	"freq_cons_dum_5day"	"1.01"	"0.98"	"1.05"
"15"	"Occupational status (inactive)"	"No correction"	"cond_oc_dum_2inact"	"1.06"	"1.02"	"1.11"
"16"	"Occupational status (unemployed)"	"No correction"	"cond_oc_dum_3unemp"	"1.06"	"1.03"	"1.10"
"17"	"Primary substance at admission to treatment (alcohol)"	"No correction"	"susprindum_oh"	"0.90"	"0.80"	"1.02"
"18"	"Primary substance at admission to treatment (cocaine hydrochloride)"	"No correction"	"susprindum_coc"	"0.90"	"0.79"	"1.01"
"19"	"Primary substance at admission to treatment (cocaine base paste)"	"No correction"	"susprindum_pbc"	"0.91"	"0.81"	"1.03"
"20"	"Primary substance at admission to treatment (marijuana)"	"No correction"	"susprindum_mar"	"0.89"	"0.78"	"1.02"
"21"	"Treatment outcome of the previous treatment (recoded for interaction with time)"	"After PH"	"lag_tr_outcome_rec"	"0.09"	"0.08"	"0.10"
"22"	"Previous treatment duration (in logarithmic scaled days)"	"After PH"	"log_lag_dias_treat_imp_sin_na"	"0.90"	"0.87"	"0.92"
"23"	"Previous biopsychosocial compromise (severe, recoded for interaction with time)"	"After PH"	"lag_less_90d_tr1_rec"	"0.62"	"0.49"	"0.77"
"24"	"Previous treatment duration (<90 days, recoded for interaction with time)"	"After PH"	"lag_comp_bpsc_y3_severe_rec"	"0.19"	"0.16"	"0.22"
"25"	"Polysubstance use status of the previous treatment"	"After PH"	"lag_policonsumo2"	"0.99"	"0.95"	"1.03"
"26"	"Age at admission to treatment"	"After PH"	"edad_al_ing_1"	"1.20"	"1.19"	"1.21"
"27"	"Birth year"	"After PH"	"ano_nac_corr"	"1.21"	"1.20"	"1.22"
